c_id,company_name,city,relation
CMatched-992,Iranische Gemeinde in Deutschland e. V.,Berlin,LOBBYIST
CMatched-993,Freiwillige Selbstkontrolle Fernsehen (e.V.),Berlin,LOBBYIST
CMatched-994,ANDREAS STIHL AG & Co. KG,Waiblingen,LOBBYIST
CMatched-995,NEULAND-Verein für tiergerechte und umweltschonende Nutztierhaltung e.V.,Berlin,LOBBYIST
CMatched-996,Waldbesitzerverband Sachsen-Anhalt,Magdeburg ,LOBBYIST
CMatched-997,Bundesverband der Dolmetscher und Übersetzer e.V. (BDÜ),Berlin,LOBBYIST
CMatched-998,Airbnb Germany GmbH,Berlin,LOBBYIST
CMatched-999,ECE Marketplaces GmbH & Co. KG,Hamburg,LOBBYIST
CMatched-1000,freier zusammenschluss von studenten*innenschaften (fzs) e.V.,Berlin,LOBBYIST
CMatched-1001,Rud Pedersen Public Affairs,Berlin,CLIENT
CMatched-1002,BDS NRW e.V. / Bund der Selbständigen Landesverband NRW e.V. ,Dortmund,LOBBYIST
CMatched-1003,BVMU Bundesvereinigung mittelständischer Unternehmer e.V.,Dortmund ,LOBBYIST
CMatched-1004,Senat der Wirtschaft Deutschland e.V.,Bonn,LOBBYIST
CMatched-1005,Stiftung Senat der Wirtschaft,Bonn,LOBBYIST
CMatched-1006,Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e.V.,Berlin,LOBBYIST
CMatched-1007,Northland Power Europe GmbH,Hamburg,LOBBYIST
CMatched-1008,Deutsches Verpackungsinstitut e. V.,Berlin,LOBBYIST
CMatched-1009,BerufsVerband Oecotrophologie (VDOE),Berlin,LOBBYIST
CMatched-1010,Deutscher Olympischer Sportbund (DOSB),Frankfurt am Main,LOBBYIST
CMatched-1011,Fa. Contec GmbH,Berlin,CLIENT
CMatched-1012,Diagnose-Funk e.V.,Stuttgart,LOBBYIST
CMatched-1013,Deutsche Vereinigung für Rehabilitation e.V. (DVfR),Heidelberg,LOBBYIST
CMatched-1014,Institute for Strategic Dialogue gGmbH,Berlin,LOBBYIST
CMatched-1015,HelpAge Deutschland e.V.,Osnabrück,LOBBYIST
CMatched-1016,HanseGas GmbH,Quickborn,LOBBYIST
CMatched-1017,Nautischer Verein zu Emden e.V. ,Emden,LOBBYIST
CMatched-1018,Duisburg Business & Innovation,Duisburg,LOBBYIST
CMatched-1021,Ubisoft GmbH,Düsseldorf,LOBBYIST
CMatched-1022,"BUKO Pharma-Kampagne, Gesundheit - global und gerecht e.V.",Bielefeld,LOBBYIST
CMatched-1023,Freie Förster- Bundesverband der Freiberuflichen Forstsachverständigen e.V. (BvFF),Berlin,LOBBYIST
CMatched-1024,Nowega GmbH,Münster,LOBBYIST
CMatched-1025,Unternehmerverband Sachsen e.V.,Leipzig,LOBBYIST
CMatched-1026,ARGE Netz GmbH & Co. KG,Husum,LOBBYIST
CMatched-1027,Deutsche Vereinigung für Jugendgerichte und Jugendgerichtshilfen e.V. ,Hannover,LOBBYIST
CMatched-1028,Deutsch-Emiratische Industrie- und Handelskammer (AHK),Dubai,LOBBYIST
CMatched-1029,Deutsche Physikalische Gesellschaft e.V.,Bad Honnef,LOBBYIST
CMatched-1030,Deutsche Physikalische Gesellschaft e.V.,Frankfurt,LOBBYIST
CMatched-1031,Verband der Soldaten der Bundeswehr e.V.,Bonn,LOBBYIST
CMatched-1032,Hauptverband der landwirtschaftlichen Buchstellen und Sachverständigen e. V.,Berlin,LOBBYIST
CMatched-1033,VZA,Berlin,CLIENT
CMatched-1034,BVVA,Berlin,CLIENT
CMatched-1035,Die HimmelsSchreiber GmbH,Berlin,LOBBYIST
CMatched-1036,Die HimmelsSchreiber GmbH,Berlin,LOBBYIST
CMatched-1039,Ohne Rüstung Leben,Stuttgart,LOBBYIST
CMatched-1040,Deutscher Konditorenbund ,Berlin ,LOBBYIST
CMatched-1041,Initiative pro Leber,München,LOBBYIST
CMatched-1042,Bundesverband Dentalhandel e. V.,Köln,LOBBYIST
CMatched-1043,Deutscher Kartoffelhandelsverband e.V. (DKHV),Berlin,LOBBYIST
CMatched-1044,Deutscher Kartoffelhandelsverband e.V. (DKHV),Berlin,LOBBYIST
CMatched-1045,Lhoist Germany Rheinkalk GmbH,Wülfrath,LOBBYIST
CMatched-1046,Förderkreis Umweltschutz Unterfranken e.V..,Würzburg,LOBBYIST
